id,section,title,author,volumes,publisher,imprint,year,edition,pages,format,illustrator,editor,isbn,about,note,cover_url
1,Card magic and theory,Card College,Roberto Giobbi,Vols. 1-5,Hermetic Pr,,2000,,,,,,9780945296331,"The standard structured course in sleight-of-hand card magic. Where most magic books are collections, this one is a curriculum: technique introduced in order, each volume assuming the last. It is the book most often handed to someone who asks where to start and still worth returning to years later.",,
2,Card magic and theory,Strong Magic,Darwin Ortiz,,,,,,,,,,,"Ortiz on performance rather than method. The argument is that technical perfection is not what makes magic land, and that most performers fail at audience management long before they fail at sleights.",,
3,Card magic and theory,Designing Miracles,Darwin Ortiz,,,,,,,,,,,"A study of how spectators reconstruct what they saw after the fact, and how to design effects that survive that reconstruction. Closer to cognitive psychology than to a trick book.",,
4,Card magic and theory,Cardshark,Darwin Ortiz,,,,,,,,,,,,,
5,Card magic and theory,The Annotated Erdnase,Darwin Ortiz,,Magical Publications,,1991,,,,,,0915181215,"Ortiz's annotated edition of The Expert at the Card Table, the 1902 text that remains the foundation of card table artifice and whose authorship is still disputed.",,
6,Card magic and theory,Scarne on Card Tricks,John Scarne,,Signet,,1950,,,,,,9780451158642,"A large collection of card tricks requiring little or no sleight of hand, and a demonstration that method and impact are not the same thing.",,https://covers.openlibrary.org/b/id/313762-L.jpg
7,Card magic and theory,Close-Up Card Magic,Harry Lorayne,,Dover Pubns,,1962,,,,,,0486298132,,,https://covers.openlibrary.org/b/id/13625866-L.jpg
8,Card magic and theory,Best of Friends,Harry Lorayne,,H. Lorayne,,1982,,,,,,,,,
9,Card magic and theory,The Magic Way,Juan Tamariz,,,,,,,,,,,"Tamariz's theory of false solutions: the idea that a strong effect closes off every explanation the spectator reaches for, one at a time, until none is left.",,
10,Card magic and theory,The Five Points in Magic,Juan Tamariz,,,,,,,,,,,"A short book on the performer's physical instrument: eyes, voice, hands, body, and what Tamariz calls the heart.",,
11,Card magic and theory,Verbal Magic,Juan Tamariz,,,,,,,,,,,,,
12,Card magic and theory,The Magic Rainbow,Juan Tamariz,,,,,,,,,,,"Tamariz's broadest theoretical work, on what magic is for and what it does to the person watching.",,
13,Card magic and theory,Mnemonica,Juan Tamariz,,Hermetic Press,,2011,,,,,,9780945296478,"The stack, and the case for memorized deck work. A full system rather than a single arrangement.",,https://covers.openlibrary.org/b/id/7256138-L.jpg
