id,section,subsection,title,author,goodreads,publisher,imprint,year,edition,pages,format,illustrator,editor,isbn,cover_url,about,note
1,Technology and Computing,Python,Python for Everybody,Charles Severance,https://www.goodreads.com/search?q=Python+for+Everybody+Charles+Severance,Independently Published,,2016,,,,,,1530051126,https://covers.openlibrary.org/b/id/8512502-L.jpg,,
2,Technology and Computing,Python,Python Crash Course,Eric Matthes,https://www.goodreads.com/search?q=Python+Crash+Course+Eric+Matthes,No Starch Press,,2015,,,,,,1593277407,https://covers.openlibrary.org/b/id/8245395-L.jpg,,
3,Technology and Computing,Python,Automate the Boring Stuff with Python + Workbook,Al Sweigart,https://www.goodreads.com/search?q=Automate+the+Boring+Stuff+with+Python+%2B+Workbook+Al+Sweigart,"No Starch Press, Incorporated",,2025,,,,,,1718504500,,,
4,Technology and Computing,Python,Fluent Python,Luciano Ramalho,https://www.goodreads.com/search?q=Fluent+Python+Luciano+Ramalho,O'Reilly,,2015,,,,,,9788575224625,https://covers.openlibrary.org/b/id/8743408-L.jpg,,
5,Technology and Computing,Python,Powerful Python,Aaron Maxwell,https://www.goodreads.com/search?q=Powerful+Python+Aaron+Maxwell,,,,,,,,,,,,
6,Technology and Computing,Python,Python Cookbook (O'Reilly),,https://www.goodreads.com/search?q=Python+Cookbook,O'Reilly Media,,2002,,,,,,9780596001674,https://covers.openlibrary.org/b/id/388536-L.jpg,,
7,Technology and Computing,Python,High Performance Python (O'Reilly),,https://www.goodreads.com/search?q=High+Performance+Python,"O'Reilly Media, Incorporated",,2010,,,,,,9780596522087,,,
8,Technology and Computing,Python,Python Testing with pytest,Brian Okken,https://www.goodreads.com/search?q=Python+Testing+with+pytest+Brian+Okken,"O'Reilly Media, Incorporated",,2022,,,,,,1680508601,,,
9,Technology and Computing,Python,Think Like a Programmer,V. Anton Spraul,https://www.goodreads.com/search?q=Think+Like+a+Programmer+V.+Anton+Spraul,No Starch Press,,2012,,,,,,1593274246,https://covers.openlibrary.org/b/id/8727776-L.jpg,,
10,Technology and Computing,Web and Django,"Django for Beginners, 5th ed.",William Vincent,https://www.goodreads.com/search?q=Django+for+Beginners%2C+5th+ed.+William+Vincent,Welcometocode,,2018,,,,,,173546726X,https://covers.openlibrary.org/b/id/10451472-L.jpg,,
11,Technology and Computing,Web and Django,"Django for APIs, 5th ed.",William Vincent,https://www.goodreads.com/search?q=Django+for+APIs%2C+5th+ed.+William+Vincent,Independently Published,,2018,,,,,,1093633948,https://covers.openlibrary.org/b/id/11413084-L.jpg,,
